ID,Name,Province,ClimateID,StationID,WMOID,TCID,LatitudeDD,LongitudeDD,Latitude,Longitude,Elevation,FirstYear,LastYear,HourlyFirstYr,HourlyLastYr,DailyFirstYr,DailyLastYr,MonthlyFirstYr,MonthlyLastYr
7752,IRON BRIDGE,Ontario,6053804,4079,NA,NA,46.28,-83.23,461700000,-831400000,182.9,1974,1975,NA,NA,1974,1975,1974,1975
7753,IRON BRIDGE,Ontario,6053805,44947,NA,NA,46.28,-83.25,461648000,-831446026,190,2006,2008,NA,NA,2006,2008,2006,2006
7827,ESPANOLA,Ontario,6062338,7610,NA,NA,46.28,-81.73,461700000,-814400000,208.8,NA,NA,NA,NA,NA,NA,NA,NA
7839,MCVITTIES,Ontario,6065043,4124,NA,NA,46.28,-80.85,461700000,-805100000,213.4,1950,1974,NA,NA,1950,1974,1950,1974
7751,IRON BRIDGE,Ontario,6053803,4078,NA,NA,46.27,-83.35,461600000,-832100000,198,1988,1991,NA,NA,1988,1991,1988,1991
7788,THESSALON (KIRKWOOD),Ontario,6058KM2,9941,NA,NA,46.27,-83.57,461600000,-833400000,NA,NA,NA,NA,NA,NA,NA,NA,NA
7812,BURWASH,Ontario,6061066,7606,NA,NA,46.27,-80.82,461600000,-804900000,228.9,NA,NA,NA,NA,NA,NA,NA,NA
7867,WEBBWOOD,Ontario,6069428,4139,NA,NA,46.27,-81.88,461600000,-815300000,196,1983,1986,NA,NA,1983,1986,1983,1986
8019,NORTH BAY TEST BED,Ontario,6085710,45687,NA,TNB,46.27,-79.42,461556000,-792506000,215.8,NA,NA,NA,NA,NA,NA,NA,NA
8005,MATTAWA,Ontario,6085023,4199,NA,NA,46.25,-78.68,461500000,-784100000,171.3,1882,1899,NA,NA,1882,1899,1882,1899
8023,RUTHERGLEN,Ontario,6087255,4204,NA,NA,46.25,-79.07,461500000,-790400000,240.5,1891,1940,NA,NA,1891,1940,1891,1940
8033,CALVIN,Ontario,608J0H4,9934,NA,NA,46.25,-78.92,461500000,-785500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
7787,THOMPSON,Ontario,6058245,7604,NA,NA,46.23,-83.15,461400000,-830900000,NA,NA,NA,NA,NA,NA,NA,NA,NA
7754,KENTVALE,Ontario,6054078,4080,NA,NA,46.22,-84.07,461300000,-840400000,205,1988,1988,NA,NA,1988,1988,1988,1988
7835,MASSEY,Ontario,6065005,4120,NA,NA,46.22,-82.07,461300000,-820400000,187.5,1963,1964,NA,NA,1963,1964,1963,1964
7842,MONETVILLE 2,Ontario,6065252,53618,NA,NA,46.22,-80.3,461255000,-801811000,205,2015,2016,NA,NA,2015,2016,NA,NA
7990,BONFIELD,Ontario,6080HB6,4186,NA,NA,46.22,-79.13,461300000,-790800000,265,1983,1992,NA,NA,1983,1992,1983,1992
7730,BLIND RIVER,Ontario,6050801,4064,NA,NA,46.2,-83,461200000,-830000000,183.2,1926,1959,NA,NA,1926,1959,1926,1959
7731,BLIND RIVER HYDRO CENTRE,Ontario,6050805,4065,NA,NA,46.2,-83.02,461200000,-830100000,189,1982,1989,NA,NA,1982,1989,1982,1989
7774,ST JOSEPH ISLAND MTN,Ontario,6057327,4089,NA,NA,46.2,-83.95,461200000,-835700000,335.3,1970,1971,NA,NA,1970,1971,1970,1971
7789,WALFORD,Ontario,6059210,4100,NA,NA,46.2,-82.23,461200000,-821400000,213.7,1976,1979,NA,NA,1976,1979,1976,1979
7790,WALFORD,Ontario,6059211,4101,NA,NA,46.2,-82.28,461200000,-821700000,182.9,1979,1979,NA,NA,1979,1979,1979,1979
7836,MASSEY,Ontario,6065006,4121,NA,NA,46.19,-82.02,461135088,-820129022,200,1983,2016,NA,NA,1983,2016,1983,2006
7756,LITTLE RAPIDS,Ontario,6054456,7600,NA,NA,46.18,-83.58,461100000,-833500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8132,DES JOACHIMS,Ontario,6102009,4269,NA,NA,46.18,-77.7,461100000,-774200000,129.5,1950,1977,NA,NA,1950,1977,1950,1977
8292,ROLPHTON,Ontario,6107182,4374,NA,NA,46.18,-77.65,461100000,-773900000,136.5,1990,2001,NA,NA,1990,2001,1990,2001
8293,ROLPHTON NPD,Ontario,6107184,4375,NA,NA,46.18,-77.67,461100000,-774000000,121.9,1977,1987,NA,NA,1977,1987,1977,1987
8294,ROLPHTON NPD AP STN A,Ontario,610718D,7690,NA,NA,46.18,-77.67,461100000,-774000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8332,STONECLIFFE,Ontario,610Q0NR,9956,NA,NA,46.18,-77.87,461100000,-775200000,NA,NA,NA,NA,NA,NA,NA,NA,NA
7988,BIG CHAUDIERE FALLS,Ontario,6080729,4191,NA,NA,46.15,-80.02,460900000,-800100000,NA,1918,1933,NA,NA,1918,1933,1918,1933
8036,KIOSK,Ontario,608MK0J,10703,NA,NA,46.15,-78.82,460900000,-784900000,753,NA,NA,NA,NA,NA,NA,NA,NA
8312,STONECLIFFE,Ontario,6108060,4388,NA,NA,46.15,-78.1,460900000,-780600000,149,1876,1921,NA,NA,1876,1921,1876,1921
7841,MONETVILLE,Ontario,6065250,4125,NA,NA,46.14,-80.31,460833006,-801825044,221,1963,2012,NA,NA,1963,2012,1963,2006
7996,FRENCH R CHAUDIERE DAM,Ontario,6082612,4194,NA,NA,46.13,-80.02,460800000,-800100000,198.1,1969,2003,NA,NA,1969,2003,1969,2003
8465,NIPISSING,Ontario,6115668,4478,NA,NA,46.13,-79.53,460800000,-793200000,NA,1964,1966,NA,NA,1964,1966,1964,1966
8495,POWASSAN,Ontario,6116702,4493,NA,NA,46.12,-79.25,460700000,-791500000,274.3,1974,2010,NA,NA,1974,2010,1974,2006
8035,KIOSK,Ontario,608MB0K,9958,NA,NA,46.1,-78.88,460600000,-785300000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8464,NIPISSING,Ontario,6115667,7720,NA,NA,46.1,-79.43,460600000,-792600000,214.6,NA,NA,NA,NA,NA,NA,NA,NA
8466,NIPISSING,Ontario,6115669,45547,NA,NA,46.1,-79.52,460601032,-793114040,213.4,2006,2016,NA,NA,2006,2016,2006,2006
8578,POWASSAN,Ontario,611F701,9926,NA,NA,46.1,-79.37,460600000,-792200000,NA,NA,NA,NA,NA,NA,NA,NA,NA
7997,KIOSHKOKWI LAKE,Ontario,6084201,7641,NA,NA,46.08,-78.88,460500000,-785300000,301.1,NA,NA,NA,NA,NA,NA,NA,NA
8362,BINGHAM CHUTE,Ontario,6110745,4417,NA,NA,46.08,-79.4,460500000,-792400000,242.3,1933,1970,NA,NA,1933,1970,1933,1970
8496,POWASSAN VALLEYVIEW,Ontario,6116703,4494,NA,NA,46.08,-79.35,460500000,-792100000,274.3,1970,1974,NA,NA,1970,1974,1970,1974
8097,CHALK RIVER,Ontario,6101328,7993,NA,NA,46.07,-77.4,460400000,-772400000,122,NA,NA,NA,NA,NA,NA,NA,NA
8098,CHALK RIVER,Ontario,6101329,7975,NA,NA,46.07,-77.4,460400000,-772400000,122,NA,NA,NA,NA,NA,NA,NA,NA
8260,PERCH LAKE MAIN IHD,Ontario,6106378,4350,NA,NA,46.07,-77.63,460400000,-773800000,167.6,1967,1967,NA,NA,1967,1967,1967,1967
8586,RESTOULE,Ontario,611P00F,9940,NA,NA,46.07,-79.75,460400000,-794500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8100,CHALK RIVER AECL,Ontario,6101335,4243,NA,NA,46.05,-77.37,460300000,-772200000,121.9,1960,2016,NA,NA,1960,2016,1961,2006
8101,CHALK RIVER AP STN A,Ontario,610134A,7665,NA,NA,46.05,-77.37,460300000,-772200000,121.9,NA,NA,NA,NA,NA,NA,NA,NA
8542,TROUT CREEK,Ontario,6118938,4524,NA,NA,46.03,-79.38,460200000,-792300000,333.1,1981,2006,NA,NA,1981,2006,1981,2006
7876,KILLARNEY PK,Ontario,606M1BN,9923,NA,NA,46,-81.4,460000000,-812400000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8041,CLAPPERTON ISLAND,Ontario,6091540,7653,NA,NA,46,-82.23,460000000,-821400000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8099,CHALK RIVER 2,Ontario,6101333,7664,NA,NA,46,-77.43,460000000,-772600000,167.6,NA,NA,NA,NA,NA,NA,NA,NA
8570,EMERALD LAKE,Ontario,611B296,9921,NA,NA,46,-80,460000000,-800000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8267,PETAWAWA NAT FORESTRY,Ontario,6106400,4353,NA,NA,45.98,-77.43,455900000,-772600000,183,1931,1999,NA,NA,1931,1999,1931,1996
7799,KILLARNEY (AUT),Ontario,605DJ25,8997,71460,WBE,45.97,-81.48,455800000,-812900000,196.3,1992,2016,1994,2016,1992,2016,NA,NA
8051,LITTLE CURRENT,Ontario,6094449,4212,NA,NA,45.97,-81.92,455800000,-815500000,190.5,1986,1989,NA,NA,1986,1989,1986,1989
8002,LAKE TRAVERSE,Ontario,6084307,4197,NA,NA,45.95,-78.07,455700000,-780400000,236.2,1965,1987,NA,NA,1965,1987,1965,1987
8042,COCKBURN ISLAND,Ontario,6091718,4207,NA,NA,45.95,-83.3,455700000,-831800000,185.9,1897,1910,NA,NA,1897,1910,1897,1910
8053,LITTLE CURRENT  WX RADIO,Ontario,6094451,30217,NA,NA,45.95,-81.95,455715000,-815645000,310,NA,NA,NA,NA,NA,NA,NA,NA
8263,PETAWAWA AWOS 2,Ontario,6106396,47527,71625,YWA,45.95,-77.32,455700000,-771900000,130.1,2008,2016,2008,2016,2008,2016,NA,NA
8264,PETAWAWA  CLDN,Ontario,6106397,30190,NA,NA,45.95,-77.31,455647000,-771843000,130.2,NA,NA,NA,NA,NA,NA,NA,NA
8265,PETAWAWA A,Ontario,6106398,4352,71625,YWA,45.95,-77.32,455700000,-771900000,130.1,1969,2016,1969,2016,1970,2008,1971,2006
8037,LAKE TRAVERSE,Ontario,608ML06,10704,NA,NA,45.93,-78.12,455600000,-780700000,659,NA,NA,NA,NA,NA,NA,NA,NA
8052,LITTLE CURRENT,Ontario,6094450,4213,NA,NA,45.93,-81.9,455600000,-815400000,187.5,1871,1895,NA,NA,1871,1895,1871,1893
8463,NIPISSING,Ontario,6115666,7719,NA,NA,45.93,-79.2,455600000,-791200000,276.1,NA,NA,NA,NA,NA,NA,NA,NA
8043,GORE BAY,Ontario,6092915,4208,NA,NA,45.92,-82.47,455500000,-822800000,190.5,1881,1983,NA,NA,1881,1983,1881,1983
8050,KAGAWONG,Ontario,6093900,4211,NA,NA,45.92,-82.27,455500000,-821600000,179.8,1951,1961,NA,NA,1951,1961,1951,1961
8266,PETAWAWA AWOS,Ontario,6106399,31347,71531,ZWA,45.92,-77.3,455500000,-771800000,130.1,NA,NA,NA,NA,NA,NA,NA,NA
8038,LAKE TRAVERSE,Ontario,608ML0F,9961,NA,NA,45.9,-78.05,455400000,-780300000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8443,LORING,Ontario,6114615,9943,NA,NA,45.9,-79.98,455400000,-795900000,NA,NA,NA,NA,NA,NA,NA,NA,NA
7982,ACHCRAY,Ontario,60800B7,9957,NA,NA,45.88,-77.72,455300000,-774300000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8044,GORE BAY-MANITOULIN,Ontario,6092919,48372,NA,YZE,45.88,-82.57,455254000,-823402000,189.89,2009,2016,2009,2016,NA,NA,NA,NA
8045,GORE BAY CLIMATE,Ontario,6092920,48788,71956,TZE,45.88,-82.57,455300000,-823400000,188.6,2010,2016,2010,2016,2010,2016,NA,NA
8046,GORE BAY A,Ontario,6092925,4209,NA,YZE,45.88,-82.57,455300000,-823400000,193.5,1947,2006,1953,2005,1947,2006,1947,2006
8047,GORE BAY  AWOS,Ontario,6092930,30240,NA,OZE,45.88,-82.57,455300000,-823400000,193.5,2005,2012,2005,2012,2005,2011,2006,2006
8327,PETAWAWA HOFFMAN,Ontario,610FC98,6900,NA,NA,45.88,-77.25,455300000,-771500000,153,1993,2016,NA,NA,1993,2016,1993,2006
8257,PEMBROKE CLIMATE,Ontario,6106367,49068,71196,TPM,45.86,-77.25,455137000,-771508000,161,2010,2016,2010,2016,2010,2016,NA,NA
8254,PEMBROKE   WX RADIO,Ontario,6106361,30221,NA,NA,45.83,-77.16,455002000,-770950000,141,NA,NA,NA,NA,NA,NA,NA,NA
8255,PEMBROKE EDDY MATCH,Ontario,6106362,4348,NA,NA,45.83,-77.15,455000000,-770900000,125,1866,1969,NA,NA,1866,1969,1866,1969
8435,JOLY,Ontario,6113877,7716,NA,NA,45.83,-79.2,455000000,-791200000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8521,SOUTH RIVER,Ontario,6117957,4512,NA,NA,45.83,-79.38,455000000,-792300000,396.2,1977,1995,NA,NA,1977,1995,1977,1995
8577,MIKISEW PARK,Ontario,611EJD0,9955,NA,NA,45.83,-79.45,455000000,-792700000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8532,SUNDRIDGE,Ontario,6118178,7731,NA,NA,45.82,-79.32,454900000,-791900000,335.3,NA,NA,NA,NA,NA,NA,NA,NA
8698,BURNT ISLAND,Ontario,612A0FN,10858,NA,NA,45.81,-82.95,454830000,-825700000,185.5,NA,NA,NA,NA,NA,NA,NA,NA
8256,PEMBROKE FORESTRY STN,Ontario,6106365,4349,NA,NA,45.8,-77.18,454800000,-771100000,121.9,1926,1942,NA,NA,1926,1942,1926,1942
8373,BRITT (AUT),Ontario,6110967,7704,NA,WBI,45.8,-80.53,454800000,-803200000,190,1992,2010,1994,2001,1992,2010,NA,NA
8374,BRITT RADAR,Ontario,6110968,7983,NA,WBI,45.8,-80.53,454800000,-803200000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8544,UPLANDS,Ontario,6119064,4526,NA,NA,45.8,-79.42,454800000,-792500000,NA,1886,1913,NA,NA,1886,1913,1886,1913
8554,WATTENWYL,Ontario,6119394,7735,NA,NA,45.8,-79.58,454800000,-793500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8420,GRUNDY LAKE,Ontario,61130FA,9942,NA,NA,45.78,-80.55,454700000,-803300000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8054,MANITOWANING,Ontario,6094908,7654,NA,NA,45.75,-81.87,454500000,-815200000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8258,PEMBROKE SE,Ontario,6106369,31127,NA,NA,45.75,-76.98,454500000,-765900000,148,1999,2004,NA,NA,1999,2004,1999,2004
8057,SANDFIELD,Ontario,6097425,7656,NA,NA,45.7,-82,454200000,-820000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8058,SANDFIELD,Ontario,6097426,27603,NA,NA,45.69,-81.98,454124060,-815855092,230.8,1998,2016,NA,NA,1998,2016,1998,2006
8032,SKEAD,Ontario,608GQ07,9915,NA,NA,45.67,-80.75,454000000,-804500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8056,PROVIDENCE BAY,Ontario,6096755,4214,NA,NA,45.67,-82.23,454000000,-821400000,192,1897,1940,NA,NA,1897,1940,1897,1940
8331,ROUND LAKE,Ontario,610PJRP,9963,NA,NA,45.67,-77.57,454000000,-773400000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8444,MAGNETAWAN,Ontario,6114805,4468,NA,NA,45.67,-79.78,454000000,-794700000,280.4,1924,1958,NA,NA,1924,1958,1924,1957
8448,MAGNETAWAN,Ontario,6114Q02,9945,NA,NA,45.67,-79.67,454000000,-794000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8379,BURK'S FALLS,Ontario,6111050,45349,NA,NA,45.66,-79.4,453918054,-792400000,335,2006,2010,NA,NA,2006,2010,2006,2006
8048,GREAT DUCK ISLAND,Ontario,6093004,4210,NA,NA,45.65,-82.97,453900000,-825800000,182.9,1966,1985,NA,NA,1966,1985,1966,1985
7991,BRULE LAKE,Ontario,6081028,7639,NA,NA,45.63,-78.95,453800000,-785700000,448.4,NA,NA,NA,NA,NA,NA,NA,NA
7999,LAKE OPEONGO,Ontario,6084300,4196,NA,NA,45.63,-78.37,453800000,-782200000,402.9,1962,1989,NA,NA,1962,1989,1962,1989
8049,GREAT DUCK ISLAND (AUT),Ontario,6093005,7981,71462,WNL,45.63,-82.95,453800000,-825700000,182.8,1994,2016,1994,2016,1994,2016,NA,NA
